abaixo	abaixo	_
abananada	abananadamente	Abbr=Yes
abananadamente	abananadamente	_
abelhuda	abelhudamente	Abbr=Yes
abelhudamente	abelhudamente	_
aberta	abertamente	Abbr=Yes
abertamente	abertamente	_
abismal	abismalmente	Abbr=Yes
abismalmente	abismalmente	_
abissal	abissalmente	Abbr=Yes
abissalmente	abissalmente	_
abjeta	abjetamente	Abbr=Yes
abjetamente	abjetamente	_
abolicionista	abolicionistamente	Abbr=Yes
abolicionistamente	abolicionistamente	_
aborigine	aboriginemente	Abbr=Yes
aboriginemente	aboriginemente	_
abrangedora	abrangedoramente	Abbr=Yes
abrangedoramente	abrangedoramente	_
abreviada	abreviadamente	Abbr=Yes
abreviadamente	abreviadamente	_
abrupta	abruptamente	Abbr=Yes
abruptamente	abruptamente	_
absoluta	absolutamente	Abbr=Yes
absolutamente	absolutamente	_
absorvente	absorventemente	Abbr=Yes
absorventemente	absorventemente	_
abstinente	abstinentemente	Abbr=Yes
abstinentemente	abstinentemente	_
abstracionista	abstracionistamente	Abbr=Yes
abstracionistamente	abstracionistamente	_
abstrata	abstratamente	Abbr=Yes
abstratamente	abstratamente	_
absurda	absurdamente	Abbr=Yes
absurdamente	absurdamente	_
abundante	abundantemente	Abbr=Yes
abundantemente	abundantemente	_
abusiva	abusivamente	Abbr=Yes
abusivamente	abusivamente	_
acaciana	acacianamente	Abbr=Yes
acacianamente	acacianamente	_
academica	academicamente	Abbr=Yes
academicamente	academicamente	_
acalorada	acaloradamente	Abbr=Yes
acaloradamente	acaloradamente	_
acanhada	acanhadamente	Abbr=Yes
acanhadamente	acanhadamente	_
acelerada	aceleradamente	Abbr=Yes
aceleradamente	aceleradamente	_
acentuada	acentuadamente	Abbr=Yes
acentuadamente	acentuadamente	_
acentual	acentualmente	Abbr=Yes
acentualmente	acentualmente	_
acerba	acerbamente	Abbr=Yes
acerbamente	acerbamente	_
acerca	acerca	_
acertada	acertadamente	Abbr=Yes
acertadamente	acertadamente	_
acessoria	acessoriamente	Abbr=Yes
acessoriamente	acessoriamente	_
acida	acidamente	Abbr=Yes
acidamente	acidamente	_
acidental	acidentalmente	Abbr=Yes
acidentalmente	acidentalmente	_
acima	acima	_
acintosa	acintosamente	Abbr=Yes
acintosamente	acintosamente	_
acionaria	acionariamente	Abbr=Yes
acionariamente	acionariamente	_
acirrada	acirradamente	Abbr=Yes
acirradamente	acirradamente	_
acolá	acolá	_
acrobatica	acrobaticamente	Abbr=Yes
acrobaticamente	acrobaticamente	_
acumulada	acumuladamente	Abbr=Yes
acumuladamente	acumuladamente	_
acusadora	acusadoramente	Abbr=Yes
acusadoramente	acusadoramente	_
acusatoria	acusatoriamente	Abbr=Yes
acusatoriamente	acusatoriamente	_
acustica	acusticamente	Abbr=Yes
acusticamente	acusticamente	_
ademais	ademais	_
adentro	adentro	_
adequada	adequadamente	Abbr=Yes
adequadamente	adequadamente	_
aderente	aderentemente	Abbr=Yes
aderentemente	aderentemente	_
adesiva	adesivamente	Abbr=Yes
adesivamente	adesivamente	_
adiantada	adiantadamente	Abbr=Yes
adiantadamente	adiantadamente	_
adiante	adiante	_
adicional	adicionalmente	Abbr=Yes
adicionalmente	adicionalmente	_
adiposa	adiposamente	Abbr=Yes
adiposamente	adiposamente	_
aditiva	aditivamente	Abbr=Yes
aditivamente	aditivamente	_
adjetival	adjetivalmente	Abbr=Yes
adjetivalmente	adjetivalmente	_
administrativa	administrativamente	Abbr=Yes
administrativamente	administrativamente	_
admiravel	admiravelmente	Abbr=Yes
admiravelmente	admiravelmente	_
admitida	admitidamente	Abbr=Yes
admitidamente	admitidamente	_
adoravel	adoravelmente	Abbr=Yes
adoravelmente	adoravelmente	_
adultera	adulteramente	Abbr=Yes
adulteramente	adulteramente	_
adverbial	adverbialmente	Abbr=Yes
adverbialmente	adverbialmente	_
adversa	adversamente	Abbr=Yes
adversamente	adversamente	_
adversativa	adversativamente	Abbr=Yes
adversativamente	adversativamente	_
aerodinamica	aerodinamicamente	Abbr=Yes
aerodinamicamente	aerodinamicamente	_
afavel	afavelmente	Abbr=Yes
afavelmente	afavelmente	_
afetiva	afetivamente	Abbr=Yes
afetivamente	afetivamente	_
afetuosa	afetuosamente	Abbr=Yes
afetuosamente	afetuosamente	_
afinal	afinal	_
afirmativa	afirmativamente	Abbr=Yes
afirmativamente	afirmativamente	_
aflitiva	aflitivamente	Abbr=Yes
aflitivamente	aflitivamente	_
afluente	afluentemente	Abbr=Yes
afluentemente	afluentemente	_
afoita	afoitamente	Abbr=Yes
afoitamente	afoitamente	_
afora	afora	_
afortunada	afortunadamente	Abbr=Yes
afortunadamente	afortunadamente	_
agil	agilmente	Abbr=Yes
agilmente	agilmente	_
agonizante	agonizantemente	Abbr=Yes
agonizantemente	agonizantemente	_
agora	agora	_
agorinha	agorinha	_
agradavel	agradavelmente	Abbr=Yes
agradavelmente	agradavelmente	_
agressiva	agressivamente	Abbr=Yes
agressivamente	agressivamente	_
agricola	agricolamente	Abbr=Yes
agricolamente	agricolamente	_
agridoce	agridocemente	Abbr=Yes
agridocemente	agridocemente	_
aguda	agudamente	Abbr=Yes
agudamente	agudamente	_
ainda	ainda	_
alardemente	alardemente	_
alarmante	alarmantemente	Abbr=Yes
alarmantemente	alarmantemente	_
alcoolica	alcoolicamente	Abbr=Yes
alcoolicamente	alcoolicamente	_
aleatoria	aleatoriamente	Abbr=Yes
aleatoriamente	aleatoriamente	_
alegorica	alegoricamente	Abbr=Yes
alegoricamente	alegoricamente	_
alegre	alegremente	Abbr=Yes
alegremente	alegremente	_
alergica	alergicamente	Abbr=Yes
alergicamente	alergicamente	_
alerta	alertamente	Abbr=Yes
alertada	alertadamente	Abbr=Yes
alertadamente	alertadamente	_
alertamente	alertamente	_
alfabetica	alfabeticamente	Abbr=Yes
alfabeticamente	alfabeticamente	_
algebrica	algebricamente	Abbr=Yes
algebricamente	algebricamente	_
algo	algo	_
algures	algures	_
alhures	alhures	_
ali	ali	_
alienada	alienadamente	Abbr=Yes
